UID,WID,Understand,attempt,time,distance
90910001,92,4,1,27353,7520.07
90910001,99,3,1,39530,7245.3
90910001,127,3,1,52459,8694.71
90910001,129,3,1,27940,5191.59
90910001,138,3,1,27801,5482.89
90910001,139,2,1,85954,15073.8
90910001,141,2,1,79002,9918.19
90910001,143,4,1,11801,2834.16
90910001,147,2,1,99009,15991.4
90910001,160,2,1,63956,9186.94
90910001,161,2,1,189415,24979.9
90910001,162,4,1,16688,3632.65
90910001,176,4,1,33585,6942.99
90910001,181,2,1,43263,7296.68
90910001,184,3,1,47542,7175.54
90910001,186,2,1,58609,9998.3
90910001,191,4,1,30977,5238.18
90910004,22,4,1,14320,3722.5
90910004,32,4,1,17979,4200.29
90910004,45,3,1,22104,4973.99
90910004,46,4,1,37110,7994.05
90910004,54,3,1,25207,6199.14
90910004,58,4,1,41295,8019.31
90910004,59,4,1,16025,4412.94
90910004,60,4,1,20128,3588.46
90910004,61,3,1,49343,7943.23
90910004,67,3,1,31395,6984.86
90910004,68,4,1,19825,5364.13
90910004,76,2,1,70180,11039.9
90910004,89,3,1,34390,7247.76
90910004,92,4,1,50008,9635.15
90910004,99,4,1,26181,4892.57
90910004,127,2,1,84236,15774
90910004,129,3,1,28095,5486.12
90910004,138,2,1,40334,6085.85
90910004,139,2,1,40096,7551.25
90910004,141,2,1,61049,9376.15
90910004,143,4,1,15744,3516.21
90910004,147,4,1,35986,6047.08
90910004,160,3,1,114579,11147.5
90910004,161,3,1,134867,18195.9
90910004,162,4,1,15956,4044.26
90910004,176,4,1,27543,5227.61
90910004,181,3,1,43200,6300.52
90910004,184,2,1,64907,6077.86
90910004,186,3,1,67316,9445.44
90910004,191,4,1,20349,5393.04
90910033,22,4,1,12118,3977.02
90910033,32,4,1,19852,3714.52
90910033,45,4,1,26840,3838.72
90910033,46,4,1,23936,4827.01
90910033,54,4,1,48390,7461.87
90910033,58,4,1,39040,6854.1
90910033,59,4,1,28143,4191.42
90910033,60,4,1,26560,5428.11
90910033,61,4,1,35574,7029.94
90910033,67,4,1,13482,3923.44
90910033,68,4,1,36388,5739.95
90910033,76,2,1,74150,6774.99
90910033,89,4,1,108611,10974.4
90910033,92,4,1,47570,5520.84
90910033,99,4,1,65110,5122.41
90910033,127,4,1,51726,7400.34
90910033,129,4,1,35801,4707.28
90910033,138,3,1,40704,5305.05
90910033,139,3,1,116549,8903.9
90910033,141,4,1,51548,5775.74
90910033,143,4,1,17959,3814.15
90910033,147,4,1,63511,8758.94
90910033,160,2,1,74875,8703.23
90910033,161,3,1,125748,12688.9
90910033,162,4,1,41921,6955.77
90910033,176,4,1,34605,5377.99
90910033,181,4,1,48065,5348.22
90910033,184,4,1,27535,6078.57
90910033,186,4,1,89691,9605.07
90910033,191,4,1,22669,4025.22
